地名,数值,X,Y
陆丰,318,115.64108,22.94847
南丰驿,319,115.335,22.976
长乐,281,115.61644,24.06605
岐岭,126033,115.44748,24.08087
鹤市墟,126037,115.36162,24.00702
老隆,126040,115.25559,24.09971
龙川,283,115.18617,24.06
蓝口,17037,115.08398,23.95698
河源,298,114.69146,23.73683
埔前,,114.6,23.56667
观音阁,126195,114.58678,23.40176
赤尾,,114.46667,23.35
横沥,,114.6,23.16667
欣乐驿,9550,114.41029,23.08938
博罗,347,114.27361,23.17225
文川驿,9721,104.61636,28.77483
南溪,1291,104.97202,28.84798
卢川驿,9723,105.437,28.88436
陆桥驿,1270,105.27304,29.34938
荣昌,1271,105.59631,29.41277
内江,1264,105.05389,29.58076
资县,9718,104.84836,29.78475
东皋驿,1269,105.89661,29.36029
合江,1298,105.82673,28.812
纳溪驿,1300,105.38173,28.78206
永宁卫,1778,105.42077,28.1744
长宁,1289,104.88917,28.37927
都宁驿,1295,104.79779,28.38119
兴文,1297,105.08633,28.34063
会理,1304,102.23386,26.66187
阿用驿,21582,102.32646,27.33291
泸川驿,9725,102.26695,27.89982
泸沽驿,21516,102.19712,28.30733
宁番卫,11285,102.1657,28.55095
越xi,1286,102.50378,28.64376
清溪,1210,102.6178,29.58505
富林,166291,102.67693,29.35404
箐口驿,1255,102.83732,29.79533
雅安驿,9716,102.98437,29.98556
太平驿,1219,102.7505,30.07864
邛州,9711,103.45682,30.41659
嘉定州,9717,103.75156,29.57069
竹根滩,,103.79756,29.36479
犍为,1262,103.94312,29.20924
牛华溪,21635,103.8094,29.46974
青神,1311,103.84511,29.83728
眉州驿,9712,103.83146,30.0505
彭山,1229,103.86925,30.20075
崇庆州,1228,103.67261,30.63656
温江,1307,103.8306,30.70227
汉州,1233,104.28307,30.98131
安远驿,21290,103.57815,31.47779
寒水驿,1190,103.48019,31.29779
永康驿,1223,103.6214,31.01261
护林驿,9703,103.85304,31.68893
江油,1194,104.77653,31.88281
中坝,21293,104.74095,31.77812
彰明,1197,104.71854,31.71863
古松驿,9700,103.5927,32.64832
汉子驿,9701,104.52972,32.41316
皇华驿,9707,105.08757,31.09462
五城驿,1192,104.67905,31.04428
简州,1309,104.55041,30.39027
巴县,1276,106.55267,29.55997
来凤驿,21480,106.20205,29.43648
苍溪驿,1201,105.93304,31.74311
锦屏驿,1200,105.96703,31.58316
南部,1204,106.05859,31.35962
西充,1241,105.88094,31.01046
南充,1243,106.08073,30.79899
定远,1246,106.2584,30.27237
合阳驿,1244,106.25956,30.00394
丰台区,15925,116.28399,39.84945
长辛店,15924,116.19398,39.8273
清苑驿,9503,115.49348,39.34904
梁各庄,135230,115.40012,39.38354
高碑店,,115.37705,39.35307
汾水驿,15477,116.00833,39.11052
鄚州镇,15626,116.10706,38.86037
三十里铺,133508,116.07121,38.56557
石门桥,,116.05,38.63334
白沟驿,134786,115.55067,38.95052
陉阳驿,134753,115.24406,38.78021
祁州,24,115.31509,38.41234
东亭,133393,115.12502,38.47488
晋州,131,115.03542,38.03249
建桥镇,,116.26667,37.95
临铭驿,93,114.49962,36.93683
临铭驿,15645,114.48263,36.79036
大名府,9507,115.1465,36.27553
广平,63,114.93416,36.47751
肥乡,61,114.8031,36.55203
南乐,37,115.19762,36.07747
清丰,42,115.11004,35.90877
开州,40,115.00593,35.75428
龙王庙,134226,115.22105,36.2217
码头,,114.42361,36.47361
榆河驿,99,116.22368,40.2221
土木驿,77,115.75959,40.36133
万全都司,9511,115.05115,40.61036
赵川堡,15796,115.34422,40.68259
龙门,71,115.57268,40.77919
赤城县,82,115.81398,40.91349
独石堡,76,115.71124,41.31356
张家口,85,114.88594,40.79126
万全,84,114.73473,40.8649
顺义驿,98,116.6414,40.12755
密云驿,100,116.84046,40.37148
石匣驿,,117.06667,40.55
古北口,,117.15,40.6833
滦平,67,117.73065,40.94932
承德府,9510,117.91985,40.96579
张三营,15747,117.74059,41.57152
黄姑屯,,117.725,41.31167
太平地,,118.15343,41.90189
围场,,117.57013,41.93219
道口镇,149006,114.5108,35.58151
洛口驿,564,113.01959,34.77892
首阳驿,549,112.81321,34.71491
周南驿,9595,112.38263,34.66528
孟津,555,112.63674,34.81384
河阳驿,554,112.7828,34.90318
覃怀驿,9592,112.93699,35.0893
济源,529,112.58267,35.09244
崇宁驿,532,113.66022,35.26813
武安驿,530,113.43484,35.2312
万善驿,149079,112.96114,35.17649
宁郭驿,149132,113.20303,35.14969
西河营,135496,114.76077,39.96149
蔚州,81,114.56905,39.84054
桃花堡,135498,114.98914,40.06205
吉家庄,135497,114.85104,40.01809
保安州,79,115.21474,40.37656
蠜山堡,15801,115.43069,40.21649
沙城,15807,115.5107,40.39766
土木驿,15812,115.40369,40.43613
鸡鸣驿,15775,115.31073,40.45443
河东驿,9696,110.33231,34.83513
潼关,955,110.27365,34.59881
桃林驿,544,110.94149,34.68462
甘棠驿,9602,111.15563,34.79054
蠡城驿,547,111.76631,34.7652
函关驿,553,112.1443,34.73306
许州驿,9596,113.81975,34.03139
亢村驿,18031,113.68136,35.12496
石门镇驿,15544,117.69675,40.11243
遵化驿,9505,117.95798,40.18445
和合驿,136426,116.87155,39.76957
张家湾,136421,116.698,39.84687
河西驿,136599,116.95332,39.62165
杨青驿,9514,117.18782,39.13697
杨村驿,136610,117.06313,39.37859
榆关驿,15985,119.77024,40.01019
索亭驿,566,113.53442,34.87436
荥阳,565,113.3474,34.78311
圃田驿,570,114.02625,34.73209
尉氏驿,576,114.18077,34.41345
洧川驿,561,113.98012,34.28829
上蔡驿,622,114.25935,33.26724
汝阳驿,600,114.34425,33.00482
真阳县,614,114.38121,32.60912
罗山,620,114.52224,32.20237
沙窝,150011,115.12511,31.69777
遂平,597,113.98911,33.14784
确山,619,114.01678,32.8109
宛城驿,9599,112.53547,33.00168
林水驿,18199,112.511,32.755
莘城驿,573,114.52453,34.6732
雍丘驿,,114.77448,34.55351
雍丘驿,580,114.77448,34.55351
葵丘驿,1742,115.06597,34.4305
宁城驿,582,115.31537,34.44598
商丘驿,581,115.60745,34.38505
石榴固驿,148452,115.85872,34.23513
会亭驿,148593,116.06885,34.09718
太丘驿,607,116.364,33.93946
砂涧驿,147443,113.54461,39.27515
九原驿,9684,112.7312,38.39856
广武驿,147326,112.78545,39.20152
城东驿,1089,112.422,39.308
偏头关所,1083,111.497,39.442
永宁驿,1074,111.57189,38.70199
岚县,1097,111.693,38.391
闹埿驿,1098,111.94011,38.35766
康家会驿,147310,112.18762,38.31668
凌井驿,144859,112.4156,38.13961
广灵,1094,114.27605,39.76355
瓮城口驿,,113.5017,39.87846
浑源州,1090,113.6849,39.69634
云中驿,9680,113.29639,40.09284
西安驿,1091,113.103,39.82
安银子驿,1092,113.18365,39.55909
山阴驿,1087,112.94273,39.44044
同戈驿,,112.50806,37.59361
贾令驿,144963,112.35695,37.41525
仁义驿,147932,111.76685,36.74574
霍山驿,145239,111.33807,35.60886
盘陀驿,20768,112.48277,37.23569
南关驿,20745,112.50966,37.0959
权店驿,20850,112.58008,36.95312
沁阳驿,9692,112.69898,36.75743
毓婷驿,20834,112.80595,36.56928
漳泽驿,9693,113.10348,36.18354
余吾驿,,112.83334,36.38334
长平驿,,112.91666,35.9
高平,1157,112.91959,35.79206
乔村驿,20927,112.885,35.698
太行驿,9695,112.83916,35.50432
龙山镇驿,20309,117.34889,36.73124
金岭镇驿,20336,118.19504,36.79986
青社驿,9790,118.47827,36.68792
潍县,1040,119.1065,36.70271
昌邑,1041,119.39998,36.85567
灰埠驿,20345,119.70797,36.98955
莱州府,9672,119.938,37.17543
黄山馆驿,20252,120.27515,37.54088
黄县,1016,120.52074,37.64667
登州府,9668,120.7405,37.80452
五宁驿,1029,116.76808,36.25095
清川村驿,1058,116.79002,35.7644
新嘉驿,20425,116.66961,35.6504
铜城驿,20293,116.23942,36.32959
旧县驿,142748,116.23666,36.12102
百善道驿,,116.65778,33.78167
濠梁驿,9785,117.53775,32.86535
护城驿,,117.6,32.05
张桥驿,130411,117.61906,32.32916
三沟驿,130312,116.97505,31.5029
派河驿,130980,117.15776,31.71694
棠邑驿,40560,118.8379,32.34842
梅心驿,130301,117.02015,31.34037
陶冲驿,130215,116.79016,30.92253
小池驿,,116.38889,30.52555
宿松,1721,116.1142,30.15121
麻城,647,115.03097,31.18092
李坪驿,,114.86824,30.63178
吕堰驿,18306,112.22893,32.26555
石桥驿,18373,112.22737,31.26069
丽阳驿,18354,112.31873,31.43353
建阳驿,18496,112.18095,30.69175
公安驿,,112.22417,30.06056
白沙驿,,112.3,30.2
大龙驿,,111.60265,29.2061
清化驿,750,111.65214,29.44785
枣阳县,632,112.7566,32.13202
随州,643,113.36982,31.71511
石城驿,9606,112.58926,31.16983
丰乐河驿,128903,112.48116,31.46446
城北驿,661,113.56968,30.946
刘家驿,127690,113.81085,30.76421
郢东驿,18358,112.8774,31.1546
蔡店驿,18550,114.02563,30.58098
阳逻驿,18562,114.56286,30.65994
石头口驿,18618,113.62487,29.87923
金口驿,127572,114.13541,30.34289
簲州驿,127576,113.9317,30.21595
鱼山驿,,113.9,29.98333
长安驿,,113.46667,29.48333
官塘驿,18624,114.08427,29.80722
东湖驿,18473,114.40243,30.35341
山陂驿,18553,114.34385,30.09302
都石驿,,113.1,27.6
皇华驿,,112.88561,27.38251
渌口驿,,113.13333,27.7
排山驿,131707,112.22751,26.79278
三吾驿,,111.58423,26.44354
郑家驿,131094,111.33949,28.70629
新店驿,131091,111.11794,28.63706
北溶驿,18723,110.49302,28.63851
谷城,631,111.6458,32.26936
均阳驿,629,111.16557,32.66815
郧阳驿,9603,110.81399,32.83374
南平驿,,112.05668,29.39306
塔市驿,128509,112.80866,29.73078
监利,680,112.90025,29.81576
石首驿,679,112.40646,29.72431
定远驿,,104.00359,35.97423
沙井儿驿,,103.61777,36.15336
苦水湾驿,,103.42487,36.25199
红城子驿,,103.38703,36.46989
在城驿,,103.25861,36.737
武胜驿,,103.15778,36.88015
岔口驿,,103.07923,37.02357
镇光驿,,102.85934,37.16592
黑松林驿,,102.90039,37.35509
古浪所,,102.88088,37.46399
靖边驿,,102.83258,37.66917
大河驿,,102.75048,37.84406
武威驿,,102.6347,37.92692
怀安驿,,102.4475,38.07139
柔远驿,,102.27935,38.13495
真景驿,,101.96912,38.24665
水泉儿驿,,101.65009,38.37494
石峡口驿,,101.41075,38.50788
山丹驿,,101.08796,38.78111
仁寿驿,,100.6788,38.88662
甘州卫,,100.44992,38.93311
高台所,,99.82028,39.38122
镇远驿,,99.52596,39.75941
肃州卫,,98.56667,39.76667
嘉峪关驿,,98.30244,39.81652
建忠驿,,108.9214,34.6178
顺义驿,,108.9714,34.9108
翟道驿,,109.26382,35.58947
云阳驿,,109.13333,35.41667
富州驿,,109.3683,35.9914
抚安驿,,109.34457,36.27863
金明驿,,109.46991,36.59181
干谷驿,,109.87361,36.695
文安驿,,110.04994,36.86401
青涧,,110.12763,37.09555
石嘴岔驿,,110.152,37.31491
青阳驿,,110.25102,37.49923
张村驿,,109.15,35.91667
隆益镇驿,,109.00661,35.95813
邵庄驿,,108.6774,36.12026
宋庄驿,,108.32707,36.08202
彭原驿,,107.93047,35.50143
华池驿,,108.00684,35.81011
弘化驿,,107.87602,36.00517
灵驿,,107.64027,36.21722
曲子驿,,107.5047,36.29556
灵武驿,,107.30432,36.57341
韦州所,,106.47857,37.27804
石沟驿,,106.44972,37.71917
灵州所,,106.32814,38.08889
银川驿,,110.18326,37.76026
鱼河驿,,109.93477,37.96887
榆林驿,,109.81917,37.98028
榆林卫,,109.75387,38.29471
高家堡,,110.29407,38.555
柏林堡,,110.3254,38.73879
镇羌所,,110.71729,39.07056
保德州,,111.07551,39.02926
宁夏卫,,106.27397,38.46697
流店驿,,111.501,30.296
凤栖驿,,111.28916,30.70028
黄牛驿,,111.06945,30.83086
建平驿,,110.69416,30.99962
巴山驿,,110.40453,31.03002
高塘驿,,109.88886,31.08135
永宁驿,,109.52475,31.05471
南陀驿,,109.1,30.93333
五峰驿,,108.89149,30.96685
巴阳驿,,108.61176,30.81578
集贤驿,,108.3736,30.81286
分水驿,,108.08334,30.71667
龙溪驿,,107.78773,30.66487
太平驿,,107.20484,30.7382
渠县,,106.96224,30.84433
广安州,,106.63175,30.47443
盘龙驿,,106.55,30.25
土陀驿,,106.49805,29.78167
渭水驿,,108.70995,34.33905
岐阳驿,,107.38592,34.52252
陇州驿,,106.85296,34.89141
清水,,106.13658,34.7463
秦州,,105.71696,34.58547
宁远,,104.88529,34.72002
通安驿,,104.6356,35.00714
东河桥驿,,106.94606,34.23449
松林驿,,106.53333,33.91667
临红关驿,,104.93819,33.06407
平落驿,,105.41982,33.55455
徽山驿,,106.08667,33.77755
黄花驿,,106.29855,33.90963
杀贼桥驿,,104.49847,33.69279
阶州,,104.92928,33.39484
宕昌驿,,104.39568,34.05089
岷山驿,,104.03025,34.43646
酒店子驿,,104.15152,34.70661
三岔驿,,104.3287,34.87931
桌旦驿,,104.47214,34.85064
青家驿,,105.43492,35.70248
西巩驿,,104.8465,35.65801
通安驿,,104.67754,35.30017
马道驿,,106.92735,33.61924
顺政驿,,106.62171,33.15101
金牛驿,,106.38165,33.07498
阳平驿,,106.29188,33.04306
黄坝驿,,106.25531,32.81933
神宣驿,,106.00118,32.66309
朝天驿,,105.89238,32.62901
沙河驿,,105.85261,32.54853
柏林驿,,105.87879,32.0931
龙潭驿,,105.85007,32.31844
柳边驿,,105.71904,31.37332
富村驿,,105.54237,31.31459
云谿驿,,105.37611,31.22931
秋林驿,,105.24311,31.14603
西平驿,,104.77802,32.04075
