ID,vol,author,add1,x,y,,
943,,陳黄裳,眉山,103.83146,30.0505,,
944,,潘汝劼,彭衙,109.6,35.18,,
946,,陳敬,京兆,108.907,34.24642,,
947,,劉應奎,江陵,112.19077,30.35044,,
948,,楚惟善,朝城,115.5786,36.05568,,
949,,夏鎮,宜春,114.37588,27.79427,,
950,,陳泰,茶陵,113.55217,26.80198,,
951,,張昱,廬陵,114.97128,27.10324,,
952,,譚景星,茶陵,113.55217,26.80198,,
953,,王結,定興,115.77419,39.26959,,
954,,朱思本,臨川,116.35134,27.98478,,
959,,王道孟,句容,119.16274,31.94654,,
960,,潘仁,蘄春,115.47425,30.30481,,
961,,倪鏜,安仁,116.90326,28.40443,,
963,,程榮秀,休寧,118.17577,29.78119,,
965,,張簠,樂陵,117.21653,37.73789,,
967,,吳暾,淳安,118.96516,29.61229,,
972,,程文,婺源,117.84459,29.24473,,
973,,胡助,東陽,120.22798,29.26057,,
975,,郝采麟,陵川,113.27701,35.77813,,
976,,宋渤,長子,112.87379,36.11993,,
982,,杜本(,清江,115.39899,28.01557,,
983,,干文傳,吳縣,120.61862,31.31271,,
991,,李倜,榆次,112.74468,37.67847,,
992,,李好謙,臨邑,116.85932,37.19032,,
995,,馬昫,滏陽,114.37424,36.35904,,
997,,貢松,宣城,118.7425,30.94694,,
1000,,續執中,襄陵,111.39649,36.02399,,
1001,,戎益,順德,113.25392,22.84786,,
1002,,李彝,薊州,117.40182,40.04386,,
1003,,章矗,平陽,120.55644,27.67572,,
1004,,程端學,鄞縣,121.54266,29.86632,,
1005,,項炯,臨海,121.1206,28.84313,,
1006,,王都中,福寧,119.9904,26.88346,,
1007,,錢良右,長洲,120.61862,31.31271,,
1008,,王艮,諸暨,120.22766,29.71314,,
1010,,陳樵,東陽,120.22798,29.26057,,
1011,,鄭奕夫,鄞縣,121.54266,29.86632,,
1012,,馮福京,潼川,105.06,31.1,,
1013,,孛术魯翀,隆安,107.68495,23.17817,,
